"","Beds for mental health in general hospitals (per 100 000 population)","Beds for mental health in general hospitals (per 100 000 population)","Beds for mental health in general hospitals (per 100 000 population)","Beds for mental health in general hospitals (per 100 000 population)","Beds in community residential facilities (per 100 000 population)","Beds in community residential facilities (per 100 000 population)","Beds in community residential facilities (per 100 000 population)","Beds in community residential facilities (per 100 000 population)","Beds in community residential facilities (per 100 000 population)","Beds in mental hospitals (per 100 000 population)","Beds in mental hospitals (per 100 000 population)","Beds in mental hospitals (per 100 000 population)","Beds in mental hospitals (per 100 000 population)","Beds in mental hospitals (per 100 000 population)"
"Tunisia","","","","","","","","","","0.266","","","",""
"Turkey","","4.673","","","","0.957","","","","","5.158","","",""
"Uganda","","0.087","","","","","","","","","1.245","","",""
"Ukraine","","1.919","","","","","","","","","65.483","","",""
"United Arab Emirates","","2.993","","","","","","","","","0.896","","",""
"United Kingdom of Great Britain and Northern Ireland","0.000","","","","","","","","","23.914","","","",""
"United Republic of Tanzania","","","0.408","","","","0.121","","","","","1.578","",""
"United States of America","","11.143","","","","","","","","","18.660","","",""
"Uruguay","","8.160","","","","","","","","","41.818","","",""
"Uzbekistan","","0.371","","","","","","","","","24.613","","",""
"Vanuatu","","1.512","","","","","","","","","","","",""
"Venezuela (Bolivarian Republic of)","0.000","","","","","","","","","","","","",""
"Viet Nam","","0.192","","","","","","","","","8.103","","",""
"Yemen","","0.000","","","","","","","","","3.801","","",""
"Zambia","","1.863","","","","0.279","","","","","1.304","","",""
"Zimbabwe","","1.014","","","","0.513","","","","","11.497","","",""
